D_number,lat_home,lon_home,Date_UTC
414,54.395476,7.751790,2025-06-26 10:42:20
415,54.394848,7.753206,2025-06-26 10:58:36
416,54.395093,7.752631,2025-06-26 11:08:42
417,54.395221,7.755317,2025-06-26 11:31:43
418,54.395347,7.754734,2025-06-26 11:26:51
419,54.395237,7.752173,2025-06-26 10:52:23
420,54.395529,7.754221,2025-06-26 11:20:06
421,54.395068,7.755958,2025-06-26 11:37:36
